Date,CHHATTISGARH_Schedule,CHHATTISGARH_Drawal,CHHATTISGARH_Deviation,GUJARAT_Schedule,GUJARAT_Drawal,GUJARAT_Deviation,MADHYAPRADESH_Schedule,MADHYAPRADESH_Drawal,MADHYAPRADESH_Deviation,MAHARASHTRA_Schedule,MAHARASHTRA_Drawal,MAHARASHTRA_Deviation,GOA_Schedule,GOA_Drawal,GOA_Deviation,DD_Schedule,DD_Drawal,DD_Deviation,DNH_Schedule,DNH_Drawal,DNH_Deviation,AMNSIL_Schedule,AMNSIL_Drawal,AMNSIL_Deviation,BARC_Schedule,BARC_Drawal,BARC_Deviation,Block,Frequency_hz
01-May-21,1560.46,1567.33,6.87,4942.52,4942.79,0.27,5736.86,5575.46,-161.40,6721.87,6633.11,-88.76,395.46,407.79,12.34,271.66,253.10,-18.56,681.24,666.90,-14.35,49.24,-103.68,-152.92,8.86,3.97,-4.89,22.00,50.00
01-May-21,1454.20,1537.44,83.24,4935.74,5027.07,91.33,5956.49,5748.93,-207.56,6812.42,6957.65,145.22,391.35,406.93,15.58,271.70,251.68,-20.01,681.32,666.61,-14.71,49.24,-100.48,-149.72,8.87,3.94,-4.92,23.00,50.01
01-May-21,1436.54,1545.30,108.76,4899.10,4978.67,79.57,6215.37,5867.45,-347.92,6848.44,7221.48,373.04,389.34,402.00,12.65,290.38,255.68,-34.70,692.44,660.10,-32.34,49.24,121.44,72.20,8.86,3.95,-4.92,24.00,50.00
01-May-21,1436.75,1540.59,103.84,4828.71,4912.52,83.81,6524.72,5961.65,-563.08,6940.52,7196.61,256.09,385.73,393.90,8.18,274.22,250.26,-23.96,679.36,656.54,-22.82,49.24,-18.88,-68.12,8.86,3.92,-4.94,25.00,50.01
01-May-21,1437.65,1513.43,75.78,5037.28,5044.77,7.49,6545.30,6245.16,-300.14,6938.63,7085.47,146.84,386.84,392.45,5.61,276.04,244.19,-31.86,679.52,652.33,-27.19,49.24,9.12,-40.12,8.86,3.88,-4.98,26.00,50.03
01-May-21,1438.97,1566.24,127.27,5132.70,4896.25,-236.45,6529.78,6371.56,-158.22,6952.11,6774.46,-177.65,383.48,392.77,9.29,276.05,238.59,-37.46,655.38,646.36,-9.03,49.24,34.72,-14.52,8.86,3.87,-4.98,27.00,50.06
01-May-21,1440.67,1592.90,152.23,5133.32,4831.74,-301.58,6652.36,6427.49,-224.86,6972.32,6424.14,-548.18,383.59,393.86,10.27,276.04,232.18,-43.86,674.68,641.22,-33.46,49.24,-52.16,-101.40,8.85,3.87,-4.98,28.00,50.07
01-May-21,1499.52,1502.45,2.93,4934.45,4685.27,-249.18,6778.60,6484.86,-293.74,6706.88,6097.54,-609.34,393.02,388.54,-4.47,271.23,220.29,-50.94,679.54,625.08,-54.46,49.24,16.16,-33.08,8.86,3.84,-5.02,29.00,50.04
01-May-21,1406.83,1470.98,64.15,4930.07,4691.65,-238.42,6702.93,6511.33,-191.60,6568.08,5793.50,-774.58,387.58,386.02,-1.56,271.22,214.01,-57.22,689.17,613.99,-75.18,49.24,119.36,70.12,8.85,3.87,-4.98,30.00,50.04
01-May-21,1491.92,1461.21,-30.71,5096.96,4660.83,-436.13,6448.69,6586.32,137.63,6443.54,5936.94,-506.60,383.02,382.70,-0.32,253.17,203.98,-49.19,669.86,608.77,-61.09,49.24,116.48,67.24,8.85,3.88,-4.97,31.00,50.04
